Name,Roomsinfo,Beds,Location,DiscountPrice,ActualPrice,Reviews,Host
Wood Yard Cottages,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 60m²3 beds (2 singles, 1 double)","<span class=""bb58e7a787"">Entire apartment</span>",Long Sutton,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 132,670</span>",,"<div aria-label=""Scored 9.3 "" class=""b5cd09854e d10a6220b4"">9.3</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Comfortable 2 Bed Apartment 2nd Floor Contractors Families Close To City Centre Occasional Bed Available,Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 80m²2 double beds,"<span class=""bb58e7a787"">Entire apartment</span>",Coventry,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 117,929</span>",,"<div aria-label=""Scored 8.3 "" class=""b5cd09854e d10a6220b4"">8.3</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
"ULTRA LAVISH APARTMENT SLEEPS 4 GUEST COMFY, NETFLIX, 1 x Double Bed , 2 x Single Beds","Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 65m²3 beds (2 singles, 1 double)","<span class=""bb58e7a787"">Entire apartment</span>","North West, Glasgow","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 77,303</span>",,"<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
"City Retreat, 2 Bed House with Cloudstream Hot Tub","Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 61m²4 beds (2 singles, 1 double, 1 sofa bed)","<span class=""bb58e7a787"">Entire holiday home</span>","Cardiff Outskirts, Cardiff","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 118,077</span>",,"<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Allan Stream Apartment,"Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 70m²3 beds (2 singles, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Bridge of Allan,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 98,273</span>",,"<div aria-label=""Scored 8.4 "" class=""b5cd09854e d10a6220b4"">8.4</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Yew Tree Barn,"Entire holiday home • 2 bedrooms • 2 living rooms • 1 bathroom • 1 kitchen • 85m²5 beds (2 singles, 2 doubles, 1 sofa bed)","<span class=""bb58e7a787"">Entire holiday home</span>",Prees,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 113,507</span>",,"<div aria-label=""Scored 8.9 "" class=""b5cd09854e d10a6220b4"">8.9</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
PENTHOUSE sea-view Apartment-Plymouth - Sleeps 7 - Private Parking - Habita Property,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 60m²8 beds (4 singles, 2 sofa beds, 2 large doubles)","<span class=""bb58e7a787"">Entire apartment</span>",Plymouth,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 362,508</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 402,787</span>","<div aria-label=""Scored 8.0 "" class=""b5cd09854e d10a6220b4"">8.0</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
"Westlands House, City Centre, Home-From-Home",Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 88m²2 double beds,"<span class=""bb58e7a787"">Entire apartment</span>",Basingstoke,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 142,694</span>",,"<div aria-label=""Scored 9.3 "" class=""b5cd09854e d10a6220b4"">9.3</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Northlands Farm - Old Farm Cottage,"Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 139m²5 beds (2 singles, 1 double, 2 sofa beds)","<span class=""bb58e7a787"">Entire holiday home</span>",Chichester,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 536,200</span>",,"<div aria-label=""Scored 9.0 "" class=""b5cd09854e d10a6220b4"">9.0</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
The Garden Flat,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 100m²3 beds (2 singles, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Charmouth,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 174,926</span>",,"<div aria-label=""Scored 9.4 "" class=""b5cd09854e d10a6220b4"">9.4</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
